,VideoID,Start,End,AnnotationTime,Description,true_id,Tenemos video
6339,swKrHEeOj9c,4,8,57,A white cat is facing a wall and appears to be talking.,swKrHEeOj9c_4_8,1
6384,qBFSt85-xqk,15,20,47,Milk is being into a huge bowl of eggs.,qBFSt85-xqk_15_20,1
6429,z9qbQX4J_2g,0,14,41,A group of kids singing on stage.,z9qbQX4J_2g_0_14,1
6501,AjZ-R3LFMzo,18,23,180,A motorcycle rider is shown performing stunts on his motorcycle.,AjZ-R3LFMzo_18_23,1
6580,WPG-BIWOrG4,672,677,63,A man is slicing open a fish longways with a knife.,WPG-BIWOrG4_672_677,1
6628,FWzsXeXCwuc,106,110,54,A monkey is climbing at the head of a statue.,FWzsXeXCwuc_106_110,1
6727,m1NR0uNNs5Y,160,166,67,A woman is peeling cloves of garlic with her hands.,m1NR0uNNs5Y_160_166,1
6785,yC4eEuURH8c,19,28,69,A kitten is running back and forth on a bed meowing.,yC4eEuURH8c_19_28,1
6845,30GeJHYoerk,80,85,73,A young woman is roller skating around small orange cones.,30GeJHYoerk_80_85,1
6893,aRo8x3xXeEA,3,8,17,The snowboarder is doing tricks.,aRo8x3xXeEA_3_8,1
6951,-rvjK0lE3z4,33,43,76,Someone cuts a potato into cube-size pieces with a knife.,-rvjK0lE3z4_33_43,1
6992,yyxtyCaEVqk,329,360,26,A man demonstrating how to season carrots.,yyxtyCaEVqk_329_360,1
7126,Q-soOsOLIGQ,0,22,67,A man is instructing a boy about batting.,Q-soOsOLIGQ_0_22,1
7182,msCidKHOh74,410,418,305,A man is riding a motorcycle.,msCidKHOh74_410_418,1
7252,NjCqtzZ3OtU,303,307,42,A woman places a small box in her mouth.,NjCqtzZ3OtU_303_307,1
7321,v-9Gx0gJmfo,91,99,103,A woman paddles a canoe and then disembarks.,v-9Gx0gJmfo_91_99,1
7383,8MVo7fje_oE,113,118,59,Someone sets the timer and starts a microwave oven.,8MVo7fje_oE_113_118,1
7432,Lt1JijkvSKk,0,10,180,An animal sitting on someone's lap in a car is playing with a small object on a chain attached to the window.,Lt1JijkvSKk_0_10,1
7481,_O9kWD8nuRU,25,35,241,A woman is cutting a yellow vegetable-looking substance into pieces.,_O9kWD8nuRU_25_35,1
7534,oFUsn1owAbs,158,168,71,A woman is taking a bubble bath in a large black tub.,oFUsn1owAbs_158_168,1
7585,Ea0thGZKPXA,25,35,35,A boy is playing a flute.,Ea0thGZKPXA_25_35,1
7654,lsanQj2yacs,102,108,99,"Two girls are standing at a kitchen counter, where one girl is spreading mayonnaise on two slices of bread.",lsanQj2yacs_102_108,1
7707,OpR1Er5o6IY,209,217,30,A man dangles a mouse for a snake to eat.,OpR1Er5o6IY_209_217,1
7770,IhwPQL9dFYc,61,75,59,A woman dices a potato into tiny pieces with a knife.,IhwPQL9dFYc_61_75,1
7938,qRoxNXm7INc,58,66,76,Someone is rubbing the head of a cat lying down.,qRoxNXm7INc_58_66,1
8033,16iNk1hLJt4,37,40,196,Six young runners are lined up at the starting line of a racetrack waiting for a man to tell them to start.,16iNk1hLJt4_37_40,1
8077,ZdlG8fjGJlo,78,87,89,Someone cuts a piece of green pepper in half and adds to a blender containing tomatoes.,ZdlG8fjGJlo_78_87,1
8138,lfGlDg47How,361,367,59,A man is using an electric whisk.,lfGlDg47How_361_367,1
8185,c2a0GcoJAjw,107,129,52,Two women are doing a dance routine.,c2a0GcoJAjw_107_129,1
8265,O06WXS_XZN0,0,6,37,A man is petting a tied up dog.,O06WXS_XZN0_0_6,1
8338,47D9-U8hn5I,11,16,122,"A cat, with socks on it's paws, slides with each step across a coffee table and eventually slides off the table.",47D9-U8hn5I_11_16,1
8457,c51L6ZxZGjQ,137,154,118,A woman is spreading butter on large pieces of bread with a metal spatula.,c51L6ZxZGjQ_137_154,1
8508,-vKO3uSG6Do,3,14,69,Three animated women are synchronized dancing.,-vKO3uSG6Do_3_14,1
8549,vfktGc_qx-w,2,18,52,Two people are doing tricks on a motorcycle.,vfktGc_qx-w_2_18,1
8573,zSPBC8EO6dY,122,126,53,Two men greet a pilot.,zSPBC8EO6dY_122_126,1
8632,s7znbqra118,91,97,970,A band marches in a parade.,s7znbqra118_91_97,1
8697,Tied-t1fFsk,15,20,23,A man is shooting a gun.,Tied-t1fFsk_15_20,1
8770,u9prcUCHlqM,73,80,112,A man is talking while walking outdoors carrying a black shoulder bag and a tripod over his shoulder.,u9prcUCHlqM_73_80,1
8822,aHiUM8uWxxo,17,25,33,two boys flying a toy airplane,aHiUM8uWxxo_17_25,1
8901,mF6ijhSrbBQ,32,40,19,An otter is sliding on ice.,mF6ijhSrbBQ_32_40,1
8957,rw9h_574HxE,229,236,59,A man has his arm around a woman and they are walking in the woods.,rw9h_574HxE_229_236,1
9009,_WRC7HXBJpU,414,425,35,A man is adding water to a pan.,_WRC7HXBJpU_414_425,1
9074,9OvXb1fot74,21,29,29,A flash advertisement.,9OvXb1fot74_21_29,1
9132,vZa13vJugGU,0,30,59,A man is playing a guitar with his feet.,vZa13vJugGU_0_30,1
9204,r4qv_BNlQNk,93,98,425,A boy puts a large piece of bark into his mouth.,r4qv_BNlQNk_93_98,1
9252,dfOuTx66bJU,34,39,141,"A man walking down the street turns around, then turns back and starts jogging.",dfOuTx66bJU_34_39,1
9310,giLxPCgLLqg,9,19,58,A man catches the ball in a game of cricket.,giLxPCgLLqg_9_19,1
9379,e996zZ0uV_A,152,163,55,A boy is adding juice in the cup.,e996zZ0uV_A_152_163,1
9427,Ar70p1_LcfM,2,20,36,a kid playing on a computer,Ar70p1_LcfM_2_20,1
9456,Kxa0mnDj0bs,113,124,257,A polar bear has placed its chin and fore limbs on the snow and is moving ahead by walking on its hind legs.,Kxa0mnDj0bs_113_124,1
9519,ZlX_Gy4HP2E,38,55,24,A woman demonstrating a walking exercise.,ZlX_Gy4HP2E_38_55,1
9595,fr9H1WLcF1A,326,336,64,Many boys in a fenced yard are fighting with toy swords.,fr9H1WLcF1A_326_336,1
9633,GPyFZMJ5Dow,56,70,35,A man prepares hamburger.,GPyFZMJ5Dow_56_70,1
9695,ZN2_czSBSD0,240,250,29,A man is running towards a tornado in an open field.,ZN2_czSBSD0_240_250,1
9765,v7NpKUVqjpI,23,40,22,elephant and trainers in the jungle,v7NpKUVqjpI_23_40,1
9900,UbmZAe5u5FI,16,23,43,A woman is thinly slicing a cucumber with a knife.,UbmZAe5u5FI_16_23,1
9943,s1ZABV7AQdA,38,48,34,A man gets chased by a stampede of people.,s1ZABV7AQdA_38_48,1
10004,_7nP9z6T9m8,11,17,52,A bicyclist hits his face on a road sign.,_7nP9z6T9m8_11_17,1
10067,3ytUOoa1SBE,12,23,56,Many performers in costumes on stage are dancing.,3ytUOoa1SBE_12_23,1
10122,_o1UXSxTjfo,68,80,265,A man bags produce and talks to a group.,_o1UXSxTjfo_68_80,1
10189,hW8TKz2Aea4,5,12,63,Someone is holding a hedgehog in their hand.,hW8TKz2Aea4_5_12,1
10233,V6Fxclwdfxc,56,66,197,A bird carries his ball up a ladder.,V6Fxclwdfxc_56_66,1
10277,jlahRlo4jlU,30,36,16,A man is walking down a road.,jlahRlo4jlU_30_36,1
10356,QT8iCDc7NGU,18,23,76,"A woman, wearing yellow rubber gloves, is talking while washing the top of a chest freezer with a cloth.",QT8iCDc7NGU_18_23,1
10405,p69d3UBdpR8,98,109,19,A young Asian girl is applying eyeliner.,p69d3UBdpR8_98_109,1
10482,nBFhvrAOFqY,89,103,36,An orangutan is stripping his clothes.,nBFhvrAOFqY_89_103,1
10545,ysTmUTQ5wZE,17,45,43,A baby panda bear is crawling.,ysTmUTQ5wZE_17_45,1
10610,BtQEY2SL4g4,11,16,186,"A man using a pole nudges a cat off a tall utility-like  pole, and the cat leaps all the way to the ground and runs off.",BtQEY2SL4g4_11_16,1
10653,yfMTsYcLt10,0,7,28,A boy runs into wall,yfMTsYcLt10_0_7,1
10713,6pcqRuFEMLs,46,52,48,A boy climbs an obstacle course.,6pcqRuFEMLs_46_52,1
10777,cs33MNhpRNw,16,21,41,A flight attendant shuts a door.,cs33MNhpRNw_16_21,1
10839,uqVCk2oDpSE,194,200,70,A man slicing a bun in half with a knife appears to cut himself.,uqVCk2oDpSE_194_200,1
10900,rwHT2SuNOi8,195,201,3057,A chef lays bacon on a baking tray.,rwHT2SuNOi8_195_201,1
10960,q3I3R_gqy8M,73,79,117,A crying man is talking to a woman lying in a bed and resting his forehead against hers.,q3I3R_gqy8M_73_79,1
11019,6sKdTbRkahM,6,12,64,A man cuts the top and bottom off a pineapple.,6sKdTbRkahM_6_12,1
11062,ifS2nXfCyYo,4,34,36,hamster eating cheese,ifS2nXfCyYo_4_34,1
11195,HPFLN5azwtA,56,63,21,A badger digs a hole.,HPFLN5azwtA_56_63,1
11256,YXixZrSxefk,6,15,44,A man is demonstrating peeling a potato.,YXixZrSxefk_6_15,1
11316,73vUksucPz8,12,20,35,A girl is playing a violin.,73vUksucPz8_12_20,1
11385,CBD9h0jUq3w,1,7,22,A man playing soccer on the beach,CBD9h0jUq3w_1_7,1
11518,_6OTzzK7t9Y,158,170,28,A man is playing the piano.,_6OTzzK7t9Y_158_170,1
11594,Je3V7U5Ctj4,582,587,45,Someone is sprinkling cheese on a flour tortilla.,Je3V7U5Ctj4_582_587,1
11649,CHVhwcOg6y8,1,12,1296,Justin Bieber playing X-Box with a friend.,CHVhwcOg6y8_1_12,1
11716,J4otiwOjQy8,98,112,94,A man is cutting up a tubular looking white vegetable with a purple rind.,J4otiwOjQy8_98_112,1
11891,EdrZtaBUXIo,25,29,70,Smoke is coming out of a jack-o-lantern.,EdrZtaBUXIo_25_29,1
11940,5XxshEdcfAM,85,100,32,A man is dancing.,5XxshEdcfAM_85_100,1
12004,ACOmKiJDkA4,161,170,92,Someone is inserting a yellowish-brown substance into a rice ball.,ACOmKiJDkA4_161_170,1
12058,RSx5G0_xH48,12,17,30,A dog barks at the screen.,RSx5G0_xH48_12_17,1
12122,AEKPjVHSVZc,0,12,83,People in dragon costumes are dancing in the street.,AEKPjVHSVZc_0_12,1
12174,00jrXRMlZOY,0,10,19,A frog is being stroked.,00jrXRMlZOY_0_10,1
12232,0hyZ__3YhZc,485,490,60,Someone is stirring chili in a kettle.,0hyZ__3YhZc_485_490,1
12276,zpgW7m7_LZw,2,15,19,A little boy is playing golf.,zpgW7m7_LZw_2_15,1
12392,ghynaoVNwZc,1,20,79,A car does some stunt driving.,ghynaoVNwZc_1_20,1
12463,1rECrfrdNTo,200,207,21,A woman add some egg yolk to some stir fry.,1rECrfrdNTo_200_207,1
12517,8PQiaurIiDM,94,99,69,"A man cuts throw a rope, suspended from the ceiling, with a sword.",8PQiaurIiDM_94_99,1
12559,4s_0-zIWEog,1,15,77,"A boy eating cereal, while talking to a girl.",4s_0-zIWEog_1_15,1
12608,dJEoDaA6VXc,1,19,138,"A man rides a horse through cones,while shooting.",dJEoDaA6VXc_1_19,1
12664,ZxqkAGNyo8A,12,22,18,a baby playing with a toy piano,ZxqkAGNyo8A_12_22,1
12730,idXJu0BQRvo,2,6,82,A boy is sliding around a water slide.,idXJu0BQRvo_2_6,1
12800,crfrKqFp0Zg,15,25,51,A man is playing a flute.,crfrKqFp0Zg_15_25,1
12854,Pr5LQq42l4M,12,17,200,A man with a wig jumps across a building.,Pr5LQq42l4M_12_17,1
12929,wNv74rvkAw8,30,40,69,Five kittens in a row and then in a circle are eating off of plates.,wNv74rvkAw8_30_40,1
12967,c75SIlAjfjg,6,14,38,Several children practice their routine onstage.,c75SIlAjfjg_6_14,1
13038,_SNE2MYAotU,41,49,66,Someone is petting some kind of animal.,_SNE2MYAotU_41_49,1
13098,jjl2ZMdFCsw,130,142,97,A man is twirling a sword as he turns and moves.,jjl2ZMdFCsw_130_142,1
13151,HqbVbPvlDoM,0,11,52,A woman and dog are walking together.,HqbVbPvlDoM_0_11,1
13212,q8t7iSGAKik,11,31,71,A man is maneuvering a soccer ball with his feet.,q8t7iSGAKik_11_31,1
13252,4QdX5Q3qQsQ,6,14,93,A man lays his hand near his lip and appears to be thinking.,4QdX5Q3qQsQ_6_14,1
13306,R3a9r8qFlhQ,0,12,89,A chef is preparing a snake for dinning.,R3a9r8qFlhQ_0_12,1
13369,SzEbtbNSg04,111,117,80,Someone removes the glass lid from a pot of boiling water and puts uncooked spaghetti into the pot.,SzEbtbNSg04_111_117,1
13476,MJoxGpEswOI,9,16,39,a basketball player making a shoot while lying on the ground,MJoxGpEswOI_9_16,1
13550,ngHDYzhDBk4,5,14,98,Five teenage girls look over their shoulders then turn back and toss pom poms into the air.,ngHDYzhDBk4_5_14,1
13663,KPPCwmU5OHQ,480,486,95,Someone is stirring a kettle of soup with metal tongs.,KPPCwmU5OHQ_480_486,1
13781,V--abChiVVc,30,40,75,An assemble of men dancing.,V--abChiVVc_30_40,1
13840,nBJV56WUDng,38,47,25,a man pealing a banana,nBJV56WUDng_38_47,1
13914,77iDIp40m9E,3,9,27,A puppy kicks dirt on it's mother.,77iDIp40m9E_3_9,1
13981,qhknaG9ifbs,122,127,155,A man breaks a block of ice by swinging a long handled metal tool at it.,qhknaG9ifbs_122_127,1
14029,hNECyt6Bo0A,5,10,44,A class doing a walking exercise.,hNECyt6Bo0A_5_10,1
14154,sWqi41wyXcQ,68,79,68,A body builder is doing exercises.,sWqi41wyXcQ_68_79,1
14220,_QJbjKkfdcs,52,57,52,A man is playing a violin and then a woman starts to sing.,_QJbjKkfdcs_52_57,1
14281,iCiGjZEV7VI,65,75,70,A woman is applying brown makeup to her eyebrows with a brush.,iCiGjZEV7VI_65_75,1
14330,ywHBKayhyvQ,19,28,21,a boy walking over a bridge,ywHBKayhyvQ_19_28,1
14407,0NPtAv3_uVI,46,54,82,"A woman, wearing a life jacket, is skiing on a lake.",0NPtAv3_uVI_46_54,1
14450,UnWgz-mVMXU,2,6,31,A kid sliding down a poll,UnWgz-mVMXU_2_6,1
14518,ZsrPKtx0qyg,7,15,27,A puppy wagging his tail on the steps.,ZsrPKtx0qyg_7_15,1
14580,X7sQq-Iu1gQ,12,22,82,"A man, with his eyes closed, is singing into a microphone.",X7sQq-Iu1gQ_12_22,1
14647,HJHPB_Y8GZE,22,28,66,A dog is running and barking at his image in a walled mirror.,HJHPB_Y8GZE_22_28,1
14750,MJNStEgDKXU,3,10,31,The dog sat down and barked a welcome.,MJNStEgDKXU_3_10,1
14820,4ge5_V-xhP0,138,142,53,A man gets grape juice out of the fridge.,4ge5_V-xhP0_138_142,1
14891,L9wD3kw-8FE,65,73,40,A man chopping a tree with a big knive,L9wD3kw-8FE_65_73,1
14957,X_NLV2KCnIE,60,70,38,A man shooting a car.,X_NLV2KCnIE_60_70,1
15024,o2X6UCaNqKA,27,36,90,A man wearing a headset is running towards targets and shooting at them with a rifle.,o2X6UCaNqKA_27_36,1
15124,qeKX-N1nKiM,106,115,127,A woman pours water and flour into a metal bowl and stirs with chopsticks.,qeKX-N1nKiM_106_115,1
15227,zMg9dChF97A,12,38,37,A potato is being cut on a cutting board.,zMg9dChF97A_12_38,1
15298,_yUiusXxfWI,150,165,48,Jute wine is being cooked in a wok.,_yUiusXxfWI_150_165,1
15363,FH8vgAp4VDU,10,14,593,A man is getting down a staircase.,FH8vgAp4VDU_10_14,1
15441,53dc4z7HLyg,25,29,148,"A dolphin is lying on top of a girl on a dock and moving, while someone else is doing something with it's mouth.",53dc4z7HLyg_25_29,1
15567,XtQdAPV2UZs,4,11,79,A man picks up the front of a blue convertible.,XtQdAPV2UZs_4_11,1
15610,J7zb8YXrmIA,93,99,78,A guy rides the bike across the street,J7zb8YXrmIA_93_99,1
15682,C_1cnNdMwxY,0,8,92,"A man is playing with a puppy on the floor, spinning the puppy around in circles and rubbing it's belly.",C_1cnNdMwxY_0_8,1
15738,kWLNZzuo3do,31,37,114,A woman unwraps some foodstuff on a piece of wood.,kWLNZzuo3do_31_37,1
15785,WrsS6X-FB-I,30,47,311,A person is slicing bread with a bread knife.,WrsS6X-FB-I_30_47,1
15865,VfqlfprZsaQ,75,85,78,Three women in harem costumes are dancing in front of an audience.,VfqlfprZsaQ_75_85,1
15910,2G9fkvBzzQE,10,20,107,A woman is holding a microphone and a bird is talking into it while three contestants laugh.,2G9fkvBzzQE_10_20,1
15966,-7KMZQEsJW4,205,208,34,A man demonstrating how to clean a flower.,-7KMZQEsJW4_205_208,1
16024,4lXdVS697DQ,10,25,42,Two men sail on a boat.,4lXdVS697DQ_10_25,1
16095,7uOiiA4Kxbo,23,35,117,"A man, toting a white dog on his back, is riding down a street on his bicycle..",7uOiiA4Kxbo_23_35,1
16147,GcfWD62sbcs,13,33,122,"An animal, with his head caught in a tubular box, is frantically running around and jumping on hedges.",GcfWD62sbcs_13_33,1
16190,XdB0pVjFYoU,1,8,80,Someone is holding a small monkey.,XdB0pVjFYoU_1_8,1
16236,QOmrchUPnBs,10,20,61,A man is playing a large flute-like instrument.,QOmrchUPnBs_10_20,1
16302,edqyq4Q-7uU,103,109,20,The man danced on the stage.,edqyq4Q-7uU_103_109,1
16422,BnJUWwSx1kE,11,22,52,A wombat is walking about.,BnJUWwSx1kE_11_22,1
16496,nd0ToNwccl4,12,17,51,A football player is talking to a coach.,nd0ToNwccl4_12_17,1
16565,ggic669elLM,200,215,396,A man and his skeleton puppet perform on stage.,ggic669elLM_200_215,1
